County/Court	court location website	court hours webpage	court Rules (local) webpage	court Fees webpage	court Judges webpage	court department directory webpage	Court Holidays	case types filed at location	notes				case type abbrev. = 	case type
Central Civil West	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/ccw	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/ccw	http://www.lacourt.org/courthouse		CV, FL						
Chatsworth	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/cha	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/cha	http://www.lacourt.org/courthouse		CV, FL, JV, TR						
Compton	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/com	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/com	http://www.lacourt.org/courthouse		CV, CR, FL, JV, TR						
Downey	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/dow	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/dow	http://www.lacourt.org/courthouse		CV, CR, SC, TR						
East LA	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/ela	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/ela	http://www.lacourt.org/courthouse		CR						
El Monte	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/elm	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/elm	http://www.lacourt.org/courthouse		CR, TR						
Glendale	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/gln	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/gln	http://www.lacourt.org/courthouse		CV, CR, TR						
Gov. George Deukmejian	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/lb	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/lb	http://www.lacourt.org/courthouse		CV, CR, FL, JV, TR						
Hollywood	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/hc	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	none	http://www.lacourt.org/courthouse								
Inglewood	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/ing	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/ing	http://www.lacourt.org/courthouse		CR, SC, TR						
Mental Health	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/mh	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/mh	http://www.lacourt.org/courthouse		MH						
Metropolitan	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/met	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/met	http://www.lacourt.org/courthouse		CR, TR						
Michael Antonovich Antelope Valley	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/atp	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/atp	http://www.lacourt.org/courthouse		CV, CR, FL, PR, SC, TR						
Norwalk	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/se	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/se	http://www.lacourt.org/courthouse		CV, CR, FL						
Pasadena	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/pas	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/pas	http://www.lacourt.org/courthouse		CV, CR, FL, JV, TR						
Pomona	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/ea	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/ea	http://www.lacourt.org/courthouse		CV, CR,FL, JV						
San Fernando	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/las	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/las	http://www.lacourt.org/courthouse		CR						
Santa Clarita	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/new	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/new	http://www.lacourt.org/courthouse		CR, TR						
Santa Monica	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/sm	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/sm	http://www.lacourt.org/courthouse		CV, FL, TR						
Stanley Mosk	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/la	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/la	http://www.lacourt.org/courthouse		AP, CV, FL, PR, SC						
Torrance	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/sba	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/sba	http://www.lacourt.org/courthouse		CV, CR, FL, TR						
Van Nuys	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/nw	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/nw	http://www.lacourt.org/courthouse		CV, CR, FL, JV, SC, TR						
West Covina	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/cit	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/cit	http://www.lacourt.org/courthouse		CR, TR						
